NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Study Type,Study Design,Start Date
NCT03292952,KP415 Classroom Study in Children (6-12 Years of Age) With ADHD,https://clinicaltrials.gov/study/NCT03292952,COMPLETED,"The study is a multicenter, dose-optimized, double-blind, randomized, placebo-controlled, parallel efficacy laboratory classroom study with KP415 in children with Attention-Deficit/Hyperactivity Disorder (ADHD).",YES,ADHD,DRUG: KP415 oral capsule|DRUG: Placebo oral capsule,Zevra Therapeutics,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2017-12-20
NCT01749800,Galvanic Vestibular Stimulation and Motor Training in Traumatic Brain Injury Survivors,https://clinicaltrials.gov/study/NCT01749800,TERMINATED,The overall goal of the proposed project is to perform a preliminary study to assess the potential effects of galvanic vestibular stimulation (GVS) on the outcomes of a cognitive test of attention and the outcomes of robot-assisted upper-limb rehabilitation.,YES,TBI|Attention Deficits|Motor Impairments,DEVICE: GVS|DEVICE: Sham GVS|DEVICE: Armeo Spring,Spaulding Rehabilitation Hospital,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2011-07
NCT02675400,Treatments for Fathers With ADHD and Their At-Risk Children (Fathers Too),https://clinicaltrials.gov/study/NCT02675400,COMPLETED,"In contrast to mothers with Attention Deficit/Hyperactivity Disorder (ADHD), the impact of paternal ADHD in families and children with ADHD symptoms has not been studied, despite the prevalence of ADHD in males. Thus, the investigators do not know the feasibility, impact on treatment on the family and child, and effects of treating fathers relative to mothers with ADHD. Paternal ADHD is associated with negative parenting and child conduct problems.

The investigators hypothesize that successfully treating parental ADHD in fathers will have a beneficial effects on the family that will extend to the child. Specifically, the investigators believe that stimulant medication ((Lisdexamfetamine (LDX) or a different ADHD medication if poor response to LDX) with fathers will reduce father's ADHD symptoms and improve parenting. Effects of stimulant treatment of fathers will be compared to Behavioral Parent Training (BPT) on parenting, and paternal and child outcomes in fathers with ADHD who have children between the ages of 3 -8.

As in the investigator's previous work, the investigators will bank paternal and child DNA and RNA for later examination of pharmacogenetic and epigenetic effects (i.e. RNA) of stimulant response.",NO,Attention Deficit/Hyperactivity Disorder (ADHD),DRUG: Vyvanse|BEHAVIORAL: Behavioral Parent Training|DRUG: Methylphenidate,Seattle Children's Hospital,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-12
NCT01912352,Gene-environment Interactions and Brain Functional Connectivity in Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT01912352,COMPLETED,"The aims of the current study are to examine gene-environment interactions associated with norepinephrine (NE) system genes (ADRA2A, SLC6A2) in ADHD, and to evaluate whether genetic changes in norepinephrine pathway are associated with differences in functional connectivity of white matter fiber tracts, as measured by diffusion tensor imaging (DTI). Furthermore, this study aims to examine neurobiological markers, such as intermediate neuroimaging phenotypes or neuropsychological endophenotypes associated with the pathophysiology of ADHD. Through evaluating drug responses and side effects with the associated measures of clinical, neuropsychological and neuroimaging characteristics, investigators would like to investigate predictors of treatment response associated with NE system genes in ADHD.",YES,Attention Deficit Hyperactivity Disorder,DRUG: Methylphenidate,Seoul National University,Korea Research Foundation,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2010-05
NCT05906485,fNIRS Neurofeedback Training Using Virtual Reality in Children With ADHD,https://clinicaltrials.gov/study/NCT05906485,RECRUITING,"The study aims to explore the effectiveness of neurofeedback training on improving attention and inhibitory control of children with attention-deficit/hyperactivity disorder (ADHD) in Hong Kong. This study will contribute to the current understanding of the alternative treatments for ADHD, and hopefully help to mobilize more resources to support children with ADHD. The programme includes the following components:

Participants will be randomly assigned to the neurofeedback training group (with virtual reality \[VR\] technology applied), the computerized cognitive training group, or the waitlist control group. All participants will complete a total of 16 training sessions in 8 weeks (twice a week), and each session will last around 35 to 60 mins.

To investigate the intervention effectiveness, children will be asked to complete a set of cognitive tests covering inhibitory control, attention, and working memory prior to the intervention (i.e., Time 1), immediately after the 8-week training (i.e., Time 2), and 2 months after the training (i.e., Time 3, a 2-month follow up). The assessment will take around 1 hour and it will be conducted at the laboratory at the University of Hong Kong. Also, parents and teachers will be asked to complete a questionnaire assessing children's behaviours at home and schools at 3 timepoints.",NO,ADHD,BEHAVIORAL: fNIRS Neurofeedback-VR Training|BEHAVIORAL: Computerized Cognitive Training,The University of Hong Kong,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2023-06-01
NCT05517785,The Effect of Pharmacological Treatment for ADHD on Physical Performance in Male Adolescents,https://clinicaltrials.gov/study/NCT05517785,RECRUITING,The aim of this study is to evaluate the effects of stimulant ADHD pharmacotherapy on motor performance in male adolescents.,NO,ADHD,OTHER: Motor performance tests,Loewenstein Hospital,Wingate Institute,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-02-01
NCT03446885,Efficacy of Lisdexamfetamine Dimesylate for Promoting Occupational Success in Young Adults With ADHD,https://clinicaltrials.gov/study/NCT03446885,COMPLETED,"There has been little research on the third area of impairment noted in the Diagnostic and Statistical Manual of Mental Disorders - ""occupational functioning."" Individuals with ADHD experience job-related impairments including a greater likelihood of being unemployed and not enrolled in school and for those that were employed they were in a lower status occupation, relative to typically-developing comparison peers. The current literature on analogue workplace settings and the effects of lisdexamfetamine dimesylate includes office-based tasks similar to school seat work. Unfortunately, this is inconsistent with the typical work environment most common for individuals with disabilities such as ADHD where food preparation is the most common job following high school. Therefore, medication effects in this type of setting, most common for individuals with ADHD entering the workforce, need to be studied. The investigators propose to study workplace behavior in an analogue work setting in a laboratory ""pizza place."" Individuals with ADHD will participate in an interview with a supervisor each day, have a list of deliveries that need to be managed, deal with situations that require occupational judgment and appropriate customer service, and drive to make deliveries accurately and on-time. These behaviors can be reliably assessed within the laboratory. Twenty young adults will participate in two ""workdays"" within a randomized, double-blind, placebo-controlled design wherein participants will be administered placebo and .3 mg/kg lisdexamfetamine dimesylate in a counter-balanced order.",YES,Attention Deficit Disorder With Hyperactivity,DRUG: Lisdexamfetamine Dimesylate 40 MG|DRUG: Placebo,Gregory Fabiano,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-04-01
NCT00554385,A Safety and Tolerability Study of ABT-089 in Children With Attention-Deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT00554385,TERMINATED,The objective of this study is to evaluate the long-term safety and tolerability of ABT-089 in children with ADHD.,NO,Attention-Deficit/Hyperactivity Disorder,DRUG: ABT-089,Abbott,,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2007-11
NCT01533493,Memantine for Executive Dysfunction in Adults With ADHD: A Pilot Study,https://clinicaltrials.gov/study/NCT01533493,COMPLETED,"This is a 12-week clinical trial evaluating the efficacy and safety of memantine hydrochloride (Namenda) in the treatment of executive function deficits (EFDs) in adults with Attention Deficit Hyperactivity Disorder (ADHD) receiving open-label treatment with OROS-Methylphenidate (OROS-MPH, Concerta). The study aims to examine the effects of treatment with memantine on ADHD symptoms. Following screening procedures, memantine is prescribed in randomized, double-blind fashion (equal chance of medication or placebo) for 12 weeks, along with open-label OROS-MPH (everyone receives medication).",YES,Attention Deficit Hyperactivity Disorder (ADHD)|Executive Function Deficits (EFD),DRUG: Placebo|DRUG: Memantine Hydrochloride|DRUG: OROS-Methylphenidate,Massachusetts General Hospital,The American Professional Society of ADHD and Related Disorders (APSARD),INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2012-05
NCT04386811,Vitamin D as a Therapeutic Adjunct in the Stimulant Treatment of ADHD: a Proof-of-concept Tele-health Study of Stimulant-induced Improvement in Neurocognitive Functioning.,https://clinicaltrials.gov/study/NCT04386811,TERMINATED,The purpose of this study is to assess vitamin D as a therapeutic adjunct in the stimulant treatment of ADHD.,NO,ADHD,DRUG: Calcitriol|OTHER: Placebo,Yale University,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2020-08-05
NCT00819611,Working Memory Training in Young ADHD Children,https://clinicaltrials.gov/study/NCT00819611,COMPLETED,"The purpose of this study is to investigate whether working memory training improves behavioral symptoms, neurocognitive performance, and neural functioning in young children with ADHD.",NO,Attention Deficit Disorder With Hyperactivity,BEHAVIORAL: Cogmed Working memory training|BEHAVIORAL: Control version of Cogmed working memory training,Radboud University Medical Center,Netherlands Organisation for Scientific Research,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2009-06
